"year","klasirane","school_code","school_name","profile_code","profile_name","min_score_total","min_score_male","min_score_female","max_score_total","max_score_male","max_score_female"
"2025","3","1900503","Природоматематическа гимназия ""Св.Климент Охридски"", ГР.СИЛИСТРА","0971","Природни науки","287","0","0","461.5","0","0"
"2025","3","1900504","Езикова гимназия ""Пейо Яворов"", ГР.СИЛИСТРА","2024","Чужди езици - АЕ","229","0","0","449","0","0"
"2025","3","1900504","Езикова гимназия ""Пейо Яворов"", ГР.СИЛИСТРА","2307","Чужди езици - НЕ","141.5","0","0","444.75","0","0"
"2025","3","1900505","Професионална гимназия по механотехника ""Владимир Комаров"", ГР.СИЛИСТРА","4977","Автоматизирани системи с очакван недостиг","104","0","0","258.75","0","0"
"2025","3","1900505","Професионална гимназия по механотехника ""Владимир Комаров"", ГР.СИЛИСТРА","0141","Автотранспортна техника с очакван недостиг","76","0","0","351","0","0"
"2025","3","1900506","Професионална гимназия по стопанско управление, администрация и услуги ""Атанас Буров"", ГР.СИЛИСТРА","3076","Организатор Интернет приложения","218","0","0","407.5","0","0"
"2025","3","1900506","Професионална гимназия по стопанско управление, администрация и услуги ""Атанас Буров"", ГР.СИЛИСТРА","4483","Организатор на туристическа агентска дейност","215.5","0","0","359.5","0","0"
"2025","3","1900506","Професионална гимназия по стопанско управление, администрация и услуги ""Атанас Буров"", ГР.СИЛИСТРА","4484","Ресторантьор с очакван недостиг","203.8","0","0","332.25","0","0"
"2025","3","1900507","Професионална земеделска гимназия ""Добруджа"", ГР.СИЛИСТРА","4350","Механизация на селското стопанство","105.5","0","0","363.5","0","0"
"2025","3","1900508","Професионална гимназия по строителство ""Пеньо Пенев"", ГР.СИЛИСТРА","1860","Интериорен дизайн","160.5","0","0","437.75","0","0"
"2025","3","1900508","Професионална гимназия по строителство ""Пеньо Пенев"", ГР.СИЛИСТРА","1866","Строителство и архитектура с очакван недостиг","142.5","0","0","429.75","0","0"
"2025","3","1900510","Професионална гимназия по производствени технологии ""Евлогий Георгиев"", ГР.СИЛИСТРА","4487","Технологичен и микробиологичен контрол в хранително-вкусови производства с очакван недостиг","84","0","0","325.5","0","0"
"2025","4","1900502","Средно училище ""Никола Йонков Вапцаров"", ГР.СИЛИСТРА","1138","Обществени науки","186","0","0","447","0","0"
"2025","4","1900503","Природоматематическа гимназия ""Св.Климент Охридски"", ГР.СИЛИСТРА","0962","Математика","208.5","0","0","469","0","0"
"2025","4","1900503","Природоматематическа гимназия ""Св.Климент Охридски"", ГР.СИЛИСТРА","0967","Софтуерни и хардуерни науки","240","0","0","381.5","0","0"
"2025","4","1900503","Природоматематическа гимназия ""Св.Климент Охридски"", ГР.СИЛИСТРА","0971","Природни науки","287","0","0","461.5","0","0"
"2025","4","1900504","Езикова гимназия ""Пейо Яворов"", ГР.СИЛИСТРА","2024","Чужди езици - АЕ","229","0","0","449","0","0"
"2025","4","1900504","Езикова гимназия ""Пейо Яворов"", ГР.СИЛИСТРА","2307","Чужди езици - НЕ","141.5","0","0","444.75","0","0"
"2025","4","1900505","Професионална гимназия по механотехника ""Владимир Комаров"", ГР.СИЛИСТРА","4977","Автоматизирани системи с очакван недостиг","104","0","0","258.75","0","0"
"2025","4","1900505","Професионална гимназия по механотехника ""Владимир Комаров"", ГР.СИЛИСТРА","0141","Автотранспортна техника с очакван недостиг","76","0","0","351","0","0"
"2025","4","1900506","Професионална гимназия по стопанско управление, администрация и услуги ""Атанас Буров"", ГР.СИЛИСТРА","3076","Организатор Интернет приложения","218","0","0","407.5","0","0"
"2025","4","1900506","Професионална гимназия по стопанско управление, администрация и услуги ""Атанас Буров"", ГР.СИЛИСТРА","4483","Организатор на туристическа агентска дейност","215.5","0","0","359.5","0","0"
"2025","4","1900506","Професионална гимназия по стопанско управление, администрация и услуги ""Атанас Буров"", ГР.СИЛИСТРА","4484","Ресторантьор с очакван недостиг","203.8","0","0","332.25","0","0"
"2025","4","1900507","Професионална земеделска гимназия ""Добруджа"", ГР.СИЛИСТРА","4350","Механизация на селското стопанство","105.5","0","0","363.5","0","0"
"2025","4","1900508","Професионална гимназия по строителство ""Пеньо Пенев"", ГР.СИЛИСТРА","1860","Интериорен дизайн","160.5","0","0","437.75","0","0"
"2025","4","1900508","Професионална гимназия по строителство ""Пеньо Пенев"", ГР.СИЛИСТРА","1866","Строителство и архитектура с очакван недостиг","142.5","0","0","429.75","0","0"
"2025","4","1900510","Професионална гимназия по производствени технологии ""Евлогий Георгиев"", ГР.СИЛИСТРА","4487","Технологичен и микробиологичен контрол в хранително-вкусови производства с очакван недостиг","84","0","0","325.5","0","0"
